Id,OwnerId
001fn00000YN36TAAT,005fn000006vfZJAAY
001fn00000YN36UAAT,005fn000006vfZKAAY
001fn00000YN36VAAT,005fn000006vfZOAAY
001fn00000YN36XAAT,005fn000006vfZMAAY
001fn00000YN36YAAT,005fn000006vfZLAAY
001fn00000YN36ZAAT,005fn000006vfZIAAY
001fn00000YN36aAAD,005fn000006vfZOAAY
001fn00000YN36bAAD,005fn000006vfZJAAY
001fn00000YN36cAAD,005fn000006vfZOAAY
001fn00000YN36dAAD,005fn000006vfZMAAY
001fn00000YN36fAAD,005fn000006vfZPAAY
001fn00000YN36gAAD,005fn000006vfZIAAY
001fn00000YN36hAAD,005fn000006vfZQAAY
001fn00000YN36iAAD,005fn000006vfZLAAY
001fn00000YN36jAAD,005fn000006vfZMAAY
001fn00000YN36kAAD,005fn000006vfZOAAY
001fn00000YN36mAAD,005fn000006vfZOAAY
001fn00000YN36oAAD,005fn000006vfZMAAY
001fn00000YN36pAAD,005fn000006vfZOAAY
001fn00000YN36qAAD,005fn000006vfZJAAY
001fn00000YN36rAAD,005fn000006vfZJAAY
001fn00000YN36sAAD,005fn000006vfZKAAY
001fn00000YN36tAAD,005fn000006vfZJAAY
001fn00000YN36uAAD,005fn000006vfZQAAY
001fn00000YN36vAAD,005fn000006vfZJAAY
001fn00000YN36wAAD,005fn000006vfZQAAY
001fn00000YN36xAAD,005fn000006vfZQAAY
001fn00000YN36yAAD,005fn000006vfZLAAY
001fn00000YN36zAAD,005fn000006vfZOAAY
001fn00000YN370AAD,005fn000006vfZJAAY
001fn00000YN371AAD,005fn000006vfZOAAY
001fn00000YN372AAD,005fn000006vfZPAAY
001fn00000YN373AAD,005fn000006vfZJAAY
001fn00000YN374AAD,005fn000006vfZJAAY
001fn00000YN375AAD,005fn000006vfZQAAY
001fn00000YN376AAD,005fn000006vfZLAAY
001fn00000YN377AAD,005fn000006vfZIAAY
001fn00000YN378AAD,005fn000006vfZNAAY
001fn00000YN379AAD,005fn000006vfZNAAY
001fn00000YN37AAAT,005fn000006vfZFAAY
001fn00000YN37BAAT,005fn000006vfZPAAY
001fn00000YN37CAAT,005fn000006vfZPAAY
001fn00000YN37DAAT,005fn000006vfZKAAY
001fn00000YN37EAAT,005fn000006vfZOAAY
001fn00000YN37FAAT,005fn000006vfZQAAY
001fn00000YN37GAAT,005fn000006vfZQAAY
001fn00000YN37HAAT,005fn000006vfZOAAY
001fn00000YN37IAAT,005fn000006vfZQAAY
001fn00000YN37JAAT,005fn000006vfZQAAY
001fn00000YN37KAAT,005fn000006vfZOAAY
001fn00000YN37LAAT,005fn000006vfZJAAY
001fn00000YN37MAAT,005fn000006vfZQAAY
001fn00000YN37NAAT,005fn000006vfZOAAY
001fn00000YN37OAAT,005fn000006vfZMAAY
001fn00000YN37PAAT,005fn000006vfZJAAY
001fn00000YN37QAAT,005fn000006vfZKAAY
001fn00000YN37RAAT,005fn000006vfZJAAY
001fn00000YN37SAAT,005fn000006vfZQAAY
001fn00000YN37TAAT,005fn000006vfZQAAY
001fn00000YN37UAAT,005fn000006vfZJAAY
001fn00000YN37VAAT,005fn000006vfZPAAY
001fn00000YN37WAAT,005fn000006vfZJAAY
001fn00000YN37XAAT,005fn000006vfZPAAY
001fn00000YN37ZAAT,005fn000006vfZHAAY
001fn00000YN37aAAD,005fn000006vfZQAAY
001fn00000YN37bAAD,005fn000006vfZOAAY
001fn00000YN37cAAD,005fn000006vfZLAAY
001fn00000YN37dAAD,005fn000006vfZIAAY
001fn00000YN37eAAD,005fn000006vfZJAAY
001fn00000YN37fAAD,005fn000006vfZLAAY
001fn00000YN37gAAD,005fn000006vfZJAAY
001fn00000YN37hAAD,005fn000006vfZQAAY
001fn00000YN37iAAD,005fn000006vfZMAAY
001fn00000YN37jAAD,005fn000006vfZJAAY
001fn00000YN37kAAD,005fn000006vfZKAAY
001fn00000YN37lAAD,005fn000006vfZIAAY
001fn00000YN37mAAD,005fn000006vfZIAAY
001fn00000YN37nAAD,005fn000006vfZJAAY
001fn00000YN37oAAD,005fn000006vfZIAAY
001fn00000YN37pAAD,005fn000006vfZPAAY
001fn00000YN37qAAD,005fn000006vfZKAAY
001fn00000YN37rAAD,005fn000006vfZQAAY
001fn00000YN37sAAD,005fn000006vfZPAAY
001fn00000YN37tAAD,005fn000006vfZOAAY
001fn00000YN37uAAD,005fn000006vfZLAAY
001fn00000YN37vAAD,005fn000006vfZMAAY
001fn00000YN37wAAD,005fn000006vfZLAAY
001fn00000YN37xAAD,005fn000006vfZMAAY
001fn00000YN37yAAD,005fn000006vfZOAAY
001fn00000YN37zAAD,005fn000006vfZJAAY
001fn00000YN381AAD,005fn000006vfZJAAY
001fn00000YN382AAD,005fn000006vfZMAAY
001fn00000YN383AAD,005fn000006vfZMAAY
001fn00000YN384AAD,005fn000006vfZOAAY
001fn00000YN385AAD,005fn000006vfZIAAY
001fn00000YN386AAD,005fn000006vfZMAAY
001fn00000YN387AAD,005fn000006vfZIAAY
001fn00000YN388AAD,005fn000006vfZOAAY
001fn00000YN389AAD,005fn000006vfZMAAY
001fn00000YN38AAAT,005fn000006vfZLAAY
001fn00000YN38BAAT,005fn000006vfZOAAY
001fn00000YN38CAAT,005fn000006vfZJAAY
001fn00000YN38DAAT,005fn000006vfZOAAY
001fn00000YN38EAAT,005fn000006vfZIAAY
001fn00000YN38FAAT,005fn000006vfZIAAY
001fn00000YN38GAAT,005fn000006vfZPAAY
001fn00000YN38HAAT,005fn000006vfZLAAY
001fn00000YN38IAAT,005fn000006vfZPAAY
001fn00000YN38JAAT,005fn000006vfZQAAY
001fn00000YN38KAAT,005fn000006vfZLAAY
001fn00000YN38LAAT,005fn000006vfZIAAY
001fn00000YN38MAAT,005fn000006vfZJAAY
001fn00000YN38NAAT,005fn000006vfZIAAY
001fn00000YN38OAAT,005fn000006vfZOAAY
001fn00000YN38PAAT,005fn000006vfZMAAY
001fn00000YN38QAAT,005fn000006vfZIAAY
001fn00000YN38RAAT,005fn000006vfZIAAY
001fn00000YN38SAAT,005fn000006vfZPAAY
001fn00000YN38TAAT,005fn000006vfZJAAY
001fn00000YN38UAAT,005fn000006vfZLAAY
001fn00000YN38VAAT,005fn000006vfZMAAY
001fn00000YN38WAAT,005fn000006vfZPAAY
001fn00000YN38YAAT,005fn000006vfZQAAY
001fn00000YN38ZAAT,005fn000006vfZJAAY
001fn00000YN38aAAD,005fn000006vfZLAAY
001fn00000YN38bAAD,005fn000006vfZOAAY
001fn00000YN38cAAD,005fn000006vfZJAAY
001fn00000YN38dAAD,005fn000006vfZJAAY
001fn00000YN38eAAD,005fn000006vfZJAAY
001fn00000YN38fAAD,005fn000006vfZJAAY
001fn00000YN38gAAD,005fn000006vfZQAAY
001fn00000YN38kAAD,005fn000006vfZOAAY
001fn00000YN38lAAD,005fn000006vfZJAAY
001fn00000YN38mAAD,005fn000006vfZQAAY
001fn00000YN38nAAD,005fn000006vfZPAAY
001fn00000YN38pAAD,005fn000006vfZJAAY
001fn00000YN38sAAD,005fn000006vfZIAAY
001fn00000YN38tAAD,005fn000006vfZQAAY
001fn00000YN392AAD,005fn000006vfZQAAY
